Office,Party,County Name,Candidate Name,Votes/Percentage,
Attorney General,Democratic Party,OURAY,Joe Salazar,433,
Attorney General,Democratic Party,PARK,Joe Salazar,706,
Attorney General,Democratic Party,PHILLIPS,Joe Salazar,93,
Attorney General,Democratic Party,PITKIN,Joe Salazar,"1,045",
Attorney General,Democratic Party,PROWERS,Joe Salazar,315,
Attorney General,Democratic Party,PUEBLO,Joe Salazar,"11,179",
Attorney General,Democratic Party,RIO BLANCO,Joe Salazar,87,
Attorney General,Democratic Party,RIO GRANDE,Joe Salazar,573,
Attorney General,Democratic Party,ROUTT,Joe Salazar,"1,425",
Attorney General,Democratic Party,SAGUACHE,Joe Salazar,512,
Attorney General,Democratic Party,SAN JUAN,Joe Salazar,49,
Attorney General,Democratic Party,SAN MIGUEL,Joe Salazar,690,
Attorney General,Democratic Party,SEDGWICK,Joe Salazar,68,
Attorney General,Democratic Party,SUMMIT,Joe Salazar,"1,691",
Attorney General,Democratic Party,TELLER,Joe Salazar,841,
Attorney General,Democratic Party,WASHINGTON,Joe Salazar,71,
Attorney General,Democratic Party,WELD,Joe Salazar,"9,567",
Attorney General,Democratic Party,YUMA,Joe Salazar,230,
Attorney General,Democratic Party,TOTAL,Joe Salazar,"296,551",
Attorney General,Democratic Party,PERCENTAGE,Joe Salazar,49.60%,
Attorney General,Republican Party,ADAMS,George Brauchler,"22,873",
Attorney General,Republican Party,ALAMOSA,George Brauchler,"1,250",
Attorney General,Republican Party,ARAPAHOE,George Brauchler,"42,724",
Attorney General,Republican Party,ARCHULETA,George Brauchler,"1,570",
Attorney General,Republican Party,BACA,George Brauchler,889,
Attorney General,Republican Party,BENT,George Brauchler,466,
Attorney General,Republican Party,BOULDER,George Brauchler,"13,231",
Attorney General,Republican Party,BROOMFIELD,George Brauchler,"5,248",
Attorney General,Republican Party,CHAFFEE,George Brauchler,"1,986",
Attorney General,Republican Party,CHEYENNE,George Brauchler,471,
Attorney General,Republican Party,CLEAR CREEK,George Brauchler,790,
Attorney General,Republican Party,CONEJOS,George Brauchler,931,
Attorney General,Republican Party,COSTILLA,George Brauchler,154,
Attorney General,Republican Party,CROWLEY,George Brauchler,504,
Attorney General,Republican Party,CUSTER,George Brauchler,"1,020",
Attorney General,Republican Party,DELTA,George Brauchler,"4,033",
Attorney General,Republican Party,DENVER,George Brauchler,"20,083",
Attorney General,Republican Party,DOLORES,George Brauchler,432,
Attorney General,Republican Party,DOUGLAS,George Brauchler,"35,130",
Attorney General,Republican Party,EAGLE,George Brauchler,"2,014",
Attorney General,Republican Party,EL PASO,George Brauchler,"72,399",
Attorney General,Republican Party,ELBERT,George Brauchler,"5,384",
Attorney General,Republican Party,FREMONT,George Brauchler,"6,595",
Attorney General,Republican Party,GARFIELD,George Brauchler,"3,770",
Attorney General,Republican Party,GILPIN,George Brauchler,472,
Attorney General,Republican Party,GRAND,George Brauchler,"1,348",
Attorney General,Republican Party,GUNNISON,George Brauchler,877,
Attorney General,Republican Party,HINSDALE,George Brauchler,160,
Attorney General,Republican Party,HUERFANO,George Brauchler,614,
Attorney General,Republican Party,JACKSON,George Brauchler,302,
Attorney General,Republican Party,JEFFERSON,George Brauchler,"48,225",
Attorney General,Republican Party,KIOWA,George Brauchler,295,
Attorney General,Republican Party,KIT CARSON,George Brauchler,"1,071",
Attorney General,Republican Party,LA PLATA,George Brauchler,"3,397",
Attorney General,Republican Party,LAKE,George Brauchler,238,
Attorney General,Republican Party,LARIMER,George Brauchler,"26,924",
Attorney General,Republican Party,LAS ANIMAS,George Brauchler,"1,061",
Attorney General,Republican Party,LINCOLN,George Brauchler,817,
Attorney General,Republican Party,LOGAN,George Brauchler,"3,533",
Attorney General,Republican Party,MESA,George Brauchler,"17,638",
Attorney General,Republican Party,MINERAL,George Brauchler,119,
Attorney General,Republican Party,MOFFAT,George Brauchler,"2,146",
Attorney General,Republican Party,MONTEZUMA,George Brauchler,"2,436",
Attorney General,Republican Party,MONTROSE,George Brauchler,"5,607",
Attorney General,Republican Party,MORGAN,George Brauchler,"3,032",
Attorney General,Republican Party,OTERO,George Brauchler,"2,115",
Attorney General,Republican Party,OURAY,George Brauchler,549,
Attorney General,Republican Party,PARK,George Brauchler,"2,864",
Attorney General,Republican Party,PHILLIPS,George Brauchler,913,
Attorney General,Republican Party,PITKIN,George Brauchler,537,
Attorney General,Republican Party,PROWERS,George Brauchler,"1,416",
Attorney General,Republican Party,PUEBLO,George Brauchler,"9,948",
Attorney General,Republican Party,RIO BLANCO,George Brauchler,"1,029",
Attorney General,Republican Party,RIO GRANDE,George Brauchler,"1,449",
Attorney General,Republican Party,ROUTT,George Brauchler,"1,485",
Attorney General,Republican Party,SAGUACHE,George Brauchler,374,
Attorney General,Republican Party,SAN JUAN,George Brauchler,38,
Attorney General,Republican Party,SAN MIGUEL,George Brauchler,233,
Attorney General,Republican Party,SEDGWICK,George Brauchler,399,
Attorney General,Republican Party,SUMMIT,George Brauchler,"1,295",
Attorney General,Republican Party,TELLER,George Brauchler,"3,654",
Attorney General,Republican Party,WASHINGTON,George Brauchler,"1,199",
Attorney General,Republican Party,WELD,George Brauchler,"22,932",
Attorney General,Republican Party,YUMA,George Brauchler,"2,025",
Attorney General,Republican Party,TOTAL,George Brauchler,"418,713",
Attorney General,Republican Party,PERCENTAGE,George Brauchler,100.00%,WINNER
Director of State Board of Education - District 2,Democratic Party,BOULDER,Angelika Schroeder,"37,321",
Director of State Board of Education - District 2,Democratic Party,BROOMFIELD,Angelika Schroeder,"8,538",
Director of State Board of Education - District 2,Democratic Party,CLEAR CREEK,Angelika Schroeder,"1,165",
Director of State Board of Education - District 2,Democratic Party,EAGLE,Angelika Schroeder,"1,008",
Director of State Board of Education - District 2,Democratic Party,GILPIN,Angelika Schroeder,710,
Director of State Board of Education - District 2,Democratic Party,GRAND,Angelika Schroeder,"1,145",
Director of State Board of Education - District 2,Democratic Party,JEFFERSON,Angelika Schroeder,"9,418",
Director of State Board of Education - District 2,Democratic Party,LARIMER,Angelika Schroeder,"34,461",
Director of State Board of Education - District 2,Democratic Party,PARK,Angelika Schroeder,622,
Director of State Board of Education - District 2,Democratic Party,SUMMIT,Angelika Schroeder,"2,744",
Director of State Board of Education - District 2,Democratic Party,TOTAL,Angelika Schroeder,"97,132",
Director of State Board of Education - District 2,Democratic Party,PERCENTAGE,Angelika Schroeder,100.00%,WINNER
Director of State Board of Education - District 2,Republican Party,BOULDER,Johnny Barrett,"7,196",
Director of State Board of Education - District 2,Republican Party,BROOMFIELD,Johnny Barrett,"5,135",
Director of State Board of Education - District 2,Republican Party,CLEAR CREEK,Johnny Barrett,746,
Director of State Board of Education - District 2,Republican Party,EAGLE,Johnny Barrett,348,
Director of State Board of Education - District 2,Republican Party,GILPIN,Johnny Barrett,457,
Director of State Board of Education - District 2,Republican Party,GRAND,Johnny Barrett,"1,313",
Director of State Board of Education - District 2,Republican Party,JEFFERSON,Johnny Barrett,"7,892",
Director of State Board of Education - District 2,Republican Party,LARIMER,Johnny Barrett,"26,265",
Director of State Board of Education - District 2,Republican Party,PARK,Johnny Barrett,"1,394",
Director of State Board of Education - District 2,Republican Party,SUMMIT,Johnny Barrett,"1,268",
Director of State Board of Education - District 2,Republican Party,TOTAL,Johnny Barrett,"52,014",
Director of State Board of Education - District 2,Republican Party,PERCENTAGE,Johnny Barrett,100.00%,WINNER
Director of State Board of Education - District 4,Democratic Party,ADAMS,Tim Krug,363,
Director of State Board of Education - District 4,Democratic Party,ARAPAHOE,Tim Krug,348,
Director of State Board of Education - District 4,Democratic Party,BACA,Tim Krug,192,
Director of State Board of Education - District 4,Democratic Party,BENT,Tim Krug,326,
Director of State Board of Education - District 4,Democratic Party,BOULDER,Tim Krug,"11,187",
Director of State Board of Education - District 4,Democratic Party,CHEYENNE,Tim Krug,49,
Director of State Board of Education - District 4,Democratic Party,CROWLEY,Tim Krug,192,
Director of State Board of Education - District 4,Democratic Party,DOUGLAS,Tim Krug,"14,132",
Director of State Board of Education - District 4,Democratic Party,ELBERT,Tim Krug,"1,180",
Director of State Board of Education - District 4,Democratic Party,KIOWA,Tim Krug,53,
Director of State Board of Education - District 4,Democratic Party,KIT CARSON,Tim Krug,202,
Director of State Board of Education - District 4,Democratic Party,LAS ANIMAS,Tim Krug,"1,653",
Director of State Board of Education - District 4,Democratic Party,LINCOLN,Tim Krug,149,
Director of State Board of Education - District 4,Democratic Party,LOGAN,Tim Krug,800,
Director of State Board of Education - District 4,Democratic Party,MORGAN,Tim Krug,"1,102",
Director of State Board of Education - District 4,Democratic Party,OTERO,Tim Krug,"1,357",
Director of State Board of Education - District 4,Democratic Party,PHILLIPS,Tim Krug,144,
Director of State Board of Education - District 4,Democratic Party,PROWERS,Tim Krug,474,
Director of State Board of Education - District 4,Democratic Party,SEDGWICK,Tim Krug,110,
Director of State Board of Education - District 4,Democratic Party,WASHINGTON,Tim Krug,106,
Director of State Board of Education - District 4,Democratic Party,WELD,Tim Krug,"14,818",
Director of State Board of Education - District 4,Democratic Party,YUMA,Tim Krug,323,
Director of State Board of Education - District 4,Democratic Party,TOTAL,Tim Krug,"49,260",
Director of State Board of Education - District 4,Democratic Party,PERCENTAGE,Tim Krug,100.00%,WINNER
Director of State Board of Education - District 4,Republican Party,ADAMS,Debora L. Scheffel,981,
Director of State Board of Education - District 4,Republican Party,ARAPAHOE,Debora L. Scheffel,"1,101",
Director of State Board of Education - District 4,Republican Party,BACA,Debora L. Scheffel,861,
Director of State Board of Education - District 4,Republican Party,BENT,Debora L. Scheffel,444,
Director of State Board of Education - District 4,Republican Party,BOULDER,Debora L. Scheffel,"5,683",
Director of State Board of Education - District 4,Republican Party,CHEYENNE,Debora L. Scheffel,456,
Director of State Board of Education - District 4,Republican Party,CROWLEY,Debora L. Scheffel,491,
Director of State Board of Education - District 4,Republican Party,DOUGLAS,Debora L. Scheffel,"23,420",
Director of State Board of Education - District 4,Republican Party,ELBERT,Debora L. Scheffel,"5,119",
Director of State Board of Education - District 4,Republican Party,KIOWA,Debora L. Scheffel,290,
Director of State Board of Education - District 4,Republican Party,KIT CARSON,Debora L. Scheffel,"1,013",
Director of State Board of Education - District 4,Republican Party,LAS ANIMAS,Debora L. Scheffel,"1,038",
Director of State Board of Education - District 4,Republican Party,LINCOLN,Debora L. Scheffel,752,
Director of State Board of Education - District 4,Republican Party,LOGAN,Debora L. Scheffel,"3,443",
Director of State Board of Education - District 4,Republican Party,MORGAN,Debora L. Scheffel,"2,967",
Director of State Board of Education - District 4,Republican Party,OTERO,Debora L. Scheffel,"2,058",
Director of State Board of Education - District 4,Republican Party,PHILLIPS,Debora L. Scheffel,893,
Director of State Board of Education - District 4,Republican Party,PROWERS,Debora L. Scheffel,"1,379",
Director of State Board of Education - District 4,Republican Party,SEDGWICK,Debora L. Scheffel,373,
Director of State Board of Education - District 4,Republican Party,WASHINGTON,Debora L. Scheffel,"1,167",
Director of State Board of Education - District 4,Republican Party,WELD,Debora L. Scheffel,"22,209",
Director of State Board of Education - District 4,Republican Party,YUMA,Debora L. Scheffel,"1,963",
Director of State Board of Education - District 4,Republican Party,TOTAL,Debora L. Scheffel,"78,101",
Director of State Board of Education - District 4,Republican Party,PERCENTAGE,Debora L. Scheffel,100.00%,WINNER
Regent of the University of Colorado - At-large,Democratic Party,ADAMS,Lesley Smith,"33,930",
Regent of the University of Colorado - At-large,Democratic Party,ALAMOSA,Lesley Smith,"1,262",
Regent of the University of Colorado - At-large,Democratic Party,ARAPAHOE,Lesley Smith,"55,326",
Regent of the University of Colorado - At-large,Democratic Party,ARCHULETA,Lesley Smith,881,
Regent of the University of Colorado - At-large,Democratic Party,BACA,Lesley Smith,196,
Regent of the University of Colorado - At-large,Democratic Party,BENT,Lesley Smith,338,
Regent of the University of Colorado - At-large,Democratic Party,BOULDER,Lesley Smith,"48,614",
Regent of the University of Colorado - At-large,Democratic Party,BROOMFIELD,Lesley Smith,"8,550",
Regent of the University of Colorado - At-large,Democratic Party,CHAFFEE,Lesley Smith,"2,085",
Regent of the University of Colorado - At-large,Democratic Party,CHEYENNE,Lesley Smith,49,
Regent of the University of Colorado - At-large,Democratic Party,CLEAR CREEK,Lesley Smith,"1,163",
Regent of the University of Colorado - At-large,Democratic Party,CONEJOS,Lesley Smith,839,
Regent of the University of Colorado - At-large,Democratic Party,COSTILLA,Lesley Smith,808,
Regent of the University of Colorado - At-large,Democratic Party,CROWLEY,Lesley Smith,188,
Regent of the University of Colorado - At-large,Democratic Party,CUSTER,Lesley Smith,336,
Regent of the University of Colorado - At-large,Democratic Party,DELTA,Lesley Smith,"1,855",
Regent of the University of Colorado - At-large,Democratic Party,DENVER,Lesley Smith,"98,217",
Regent of the University of Colorado - At-large,Democratic Party,DOLORES,Lesley Smith,114,
Regent of the University of Colorado - At-large,Democratic Party,DOUGLAS,Lesley Smith,"22,500",
Regent of the University of Colorado - At-large,Democratic Party,EAGLE,Lesley Smith,"3,808",
Regent of the University of Colorado - At-large,Democratic Party,EL PASO,Lesley Smith,"40,077",
Regent of the University of Colorado - At-large,Democratic Party,ELBERT,Lesley Smith,"1,184",
Regent of the University of Colorado - At-large,Democratic Party,FREMONT,Lesley Smith,"2,417",
Regent of the University of Colorado - At-large,Democratic Party,GARFIELD,Lesley Smith,"3,726",
Regent of the University of Colorado - At-large,Democratic Party,GILPIN,Lesley Smith,708,
Regent of the University of Colorado - At-large,Democratic Party,GRAND,Lesley Smith,"1,133",
Regent of the University of Colorado - At-large,Democratic Party,GUNNISON,Lesley Smith,"1,480",
Regent of the University of Colorado - At-large,Democratic Party,HINSDALE,Lesley Smith,43,
Regent of the University of Colorado - At-large,Democratic Party,HUERFANO,Lesley Smith,948,
Regent of the University of Colorado - At-large,Democratic Party,JACKSON,Lesley Smith,50,
Regent of the University of Colorado - At-large,Democratic Party,JEFFERSON,Lesley Smith,"63,547",
Regent of the University of Colorado - At-large,Democratic Party,KIOWA,Lesley Smith,54,
Regent of the University of Colorado - At-large,Democratic Party,KIT CARSON,Lesley Smith,206,
Regent of the University of Colorado - At-large,Democratic Party,LA PLATA,Lesley Smith,"4,674",
Regent of the University of Colorado - At-large,Democratic Party,LAKE,Lesley Smith,607,
Regent of the University of Colorado - At-large,Democratic Party,LARIMER,Lesley Smith,"34,235",
Regent of the University of Colorado - At-large,Democratic Party,LAS ANIMAS,Lesley Smith,"1,679",
Regent of the University of Colorado - At-large,Democratic Party,LINCOLN,Lesley Smith,151,
Regent of the University of Colorado - At-large,Democratic Party,LOGAN,Lesley Smith,794,
Regent of the University of Colorado - At-large,Democratic Party,MESA,Lesley Smith,"8,869",
Regent of the University of Colorado - At-large,Democratic Party,MINERAL,Lesley Smith,159,
Regent of the University of Colorado - At-large,Democratic Party,MOFFAT,Lesley Smith,316,
Regent of the University of Colorado - At-large,Democratic Party,MONTEZUMA,Lesley Smith,"1,606",
Regent of the University of Colorado - At-large,Democratic Party,MONTROSE,Lesley Smith,"2,081",
Regent of the University of Colorado - At-large,Democratic Party,MORGAN,Lesley Smith,"1,116",
Regent of the University of Colorado - At-large,Democratic Party,OTERO,Lesley Smith,"1,378",
Regent of the University of Colorado - At-large,Democratic Party,OURAY,Lesley Smith,627,
Regent of the University of Colorado - At-large,Democratic Party,PARK,Lesley Smith,"1,211",
Regent of the University of Colorado - At-large,Democratic Party,PHILLIPS,Lesley Smith,145,
Regent of the University of Colorado - At-large,Democratic Party,PITKIN,Lesley Smith,"2,084",
Regent of the University of Colorado - At-large,Democratic Party,PROWERS,Lesley Smith,474,
Regent of the University of Colorado - At-large,Democratic Party,PUEBLO,Lesley Smith,"16,146",
Regent of the University of Colorado - At-large,Democratic Party,RIO BLANCO,Lesley Smith,133,
Regent of the University of Colorado - At-large,Democratic Party,RIO GRANDE,Lesley Smith,746,
Regent of the University of Colorado - At-large,Democratic Party,ROUTT,Lesley Smith,"2,194",
Regent of the University of Colorado - At-large,Democratic Party,SAGUACHE,Lesley Smith,576,
Regent of the University of Colorado - At-large,Democratic Party,SAN JUAN,Lesley Smith,75,
Regent of the University of Colorado - At-large,Democratic Party,SAN MIGUEL,Lesley Smith,969,
Regent of the University of Colorado - At-large,Democratic Party,SEDGWICK,Lesley Smith,113,
Regent of the University of Colorado - At-large,Democratic Party,SUMMIT,Lesley Smith,"2,739",
Regent of the University of Colorado - At-large,Democratic Party,TELLER,Lesley Smith,"1,457",
Regent of the University of Colorado - At-large,Democratic Party,WASHINGTON,Lesley Smith,105,
Regent of the University of Colorado - At-large,Democratic Party,WELD,Lesley Smith,"14,843",
Regent of the University of Colorado - At-large,Democratic Party,YUMA,Lesley Smith,330,
Regent of the University of Colorado - At-large,Democratic Party,TOTAL,Lesley Smith,"499,264",
Regent of the University of Colorado - At-large,Democratic Party,PERCENTAGE,Lesley Smith,100.00%,WINNER
Regent of the University of Colorado - At-large,Republican Party,ADAMS,Ken Montera,"22,099",
Regent of the University of Colorado - At-large,Republican Party,ALAMOSA,Ken Montera,"1,207",
Regent of the University of Colorado - At-large,Republican Party,ARAPAHOE,Ken Montera,"40,519",
Regent of the University of Colorado - At-large,Republican Party,ARCHULETA,Ken Montera,"1,474",
Regent of the University of Colorado - At-large,Republican Party,BACA,Ken Montera,848,
Regent of the University of Colorado - At-large,Republican Party,BENT,Ken Montera,438,
Regent of the University of Colorado - At-large,Republican Party,BOULDER,Ken Montera,"12,927",
Regent of the University of Colorado - At-large,Republican Party,BROOMFIELD,Ken Montera,"5,143",
Regent of the University of Colorado - At-large,Republican Party,CHAFFEE,Ken Montera,"1,899",
Regent of the University of Colorado - At-large,Republican Party,CHEYENNE,Ken Montera,451,
Regent of the University of Colorado - At-large,Republican Party,CLEAR CREEK,Ken Montera,747,
Regent of the University of Colorado - At-large,Republican Party,CONEJOS,Ken Montera,911,
Regent of the University of Colorado - At-large,Republican Party,COSTILLA,Ken Montera,147,
Regent of the University of Colorado - At-large,Republican Party,CROWLEY,Ken Montera,480,
Regent of the University of Colorado - At-large,Republican Party,CUSTER,Ken Montera,945,
Regent of the University of Colorado - At-large,Republican Party,DELTA,Ken Montera,"3,857",
Regent of the University of Colorado - At-large,Republican Party,DENVER,Ken Montera,"18,959",
Regent of the University of Colorado - At-large,Republican Party,DOLORES,Ken Montera,422,
Regent of the University of Colorado - At-large,Republican Party,DOUGLAS,Ken Montera,"33,638",
Regent of the University of Colorado - At-large,Republican Party,EAGLE,Ken Montera,"1,899",
Regent of the University of Colorado - At-large,Republican Party,EL PASO,Ken Montera,"71,988",
Regent of the University of Colorado - At-large,Republican Party,ELBERT,Ken Montera,"5,107",
Regent of the University of Colorado - At-large,Republican Party,FREMONT,Ken Montera,"6,323",
Regent of the University of Colorado - At-large,Republican Party,GARFIELD,Ken Montera,"3,599",
Regent of the University of Colorado - At-large,Republican Party,GILPIN,Ken Montera,454,
Regent of the University of Colorado - At-large,Republican Party,GRAND,Ken Montera,"1,311",
Regent of the University of Colorado - At-large,Republican Party,GUNNISON,Ken Montera,841,
Regent of the University of Colorado - At-large,Republican Party,HINSDALE,Ken Montera,149,
Regent of the University of Colorado - At-large,Republican Party,HUERFANO,Ken Montera,576,
Regent of the University of Colorado - At-large,Republican Party,JACKSON,Ken Montera,277,
Regent of the University of Colorado - At-large,Republican Party,JEFFERSON,Ken Montera,"46,559",
Regent of the University of Colorado - At-large,Republican Party,KIOWA,Ken Montera,284,
Regent of the University of Colorado - At-large,Republican Party,KIT CARSON,Ken Montera,998,
Regent of the University of Colorado - At-large,Republican Party,LA PLATA,Ken Montera,"3,190",
Regent of the University of Colorado - At-large,Republican Party,LAKE,Ken Montera,229,
Regent of the University of Colorado - At-large,Republican Party,LARIMER,Ken Montera,"26,123",
Regent of the University of Colorado - At-large,Republican Party,LAS ANIMAS,Ken Montera,"1,036",
Regent of the University of Colorado - At-large,Republican Party,LINCOLN,Ken Montera,729,
Regent of the University of Colorado - At-large,Republican Party,LOGAN,Ken Montera,"3,397",
Regent of the University of Colorado - At-large,Republican Party,MESA,Ken Montera,"16,967",
Regent of the University of Colorado - At-large,Republican Party,MINERAL,Ken Montera,110,
Regent of the University of Colorado - At-large,Republican Party,MOFFAT,Ken Montera,"2,010",
Regent of the University of Colorado - At-large,Republican Party,MONTEZUMA,Ken Montera,"2,322",
Regent of the University of Colorado - At-large,Republican Party,MONTROSE,Ken Montera,"5,427",
Regent of the University of Colorado - At-large,Republican Party,MORGAN,Ken Montera,"2,914",
Regent of the University of Colorado - At-large,Republican Party,OTERO,Ken Montera,"2,022",
Regent of the University of Colorado - At-large,Republican Party,OURAY,Ken Montera,512,
Regent of the University of Colorado - At-large,Republican Party,PARK,Ken Montera,"2,738",
Regent of the University of Colorado - At-large,Republican Party,PHILLIPS,Ken Montera,879,
Regent of the University of Colorado - At-large,Republican Party,PITKIN,Ken Montera,529,
Regent of the University of Colorado - At-large,Republican Party,PROWERS,Ken Montera,"1,372",
Regent of the University of Colorado - At-large,Republican Party,PUEBLO,Ken Montera,"9,657",
Regent of the University of Colorado - At-large,Republican Party,RIO BLANCO,Ken Montera,948,
Regent of the University of Colorado - At-large,Republican Party,RIO GRANDE,Ken Montera,"1,355",
Regent of the University of Colorado - At-large,Republican Party,ROUTT,Ken Montera,"1,415",
Regent of the University of Colorado - At-large,Republican Party,SAGUACHE,Ken Montera,346,
Regent of the University of Colorado - At-large,Republican Party,SAN JUAN,Ken Montera,31,
Regent of the University of Colorado - At-large,Republican Party,SAN MIGUEL,Ken Montera,227,
Regent of the University of Colorado - At-large,Republican Party,SEDGWICK,Ken Montera,359,
Regent of the University of Colorado - At-large,Republican Party,SUMMIT,Ken Montera,"1,273",
Regent of the University of Colorado - At-large,Republican Party,TELLER,Ken Montera,"3,549",
Regent of the University of Colorado - At-large,Republican Party,WASHINGTON,Ken Montera,"1,153",
Regent of the University of Colorado - At-large,Republican Party,WELD,Ken Montera,"22,136",
Regent of the University of Colorado - At-large,Republican Party,YUMA,Ken Montera,"1,941",
Regent of the University of Colorado - At-large,Republican Party,TOTAL,Ken Montera,"404,372",
Regent of the University of Colorado - At-large,Republican Party,PERCENTAGE,Ken Montera,100.00%,WINNER
Regent of the University of Colorado - District 3,Democratic Party,ALAMOSA,Alvin Rivera,"1,316",
Regent of the University of Colorado - District 3,Democratic Party,ARCHULETA,Alvin Rivera,869,
Regent of the University of Colorado - District 3,Democratic Party,CONEJOS,Alvin Rivera,924,
Regent of the University of Colorado - District 3,Democratic Party,COSTILLA,Alvin Rivera,913,
Regent of the University of Colorado - District 3,Democratic Party,CUSTER,Alvin Rivera,340,
Regent of the University of Colorado - District 3,Democratic Party,DELTA,Alvin Rivera,"1,854",
Regent of the University of Colorado - District 3,Democratic Party,DOLORES,Alvin Rivera,111,
Regent of the University of Colorado - District 3,Democratic Party,EAGLE,Alvin Rivera,"2,817",
Regent of the University of Colorado - District 3,Democratic Party,GARFIELD,Alvin Rivera,"3,690",
Regent of the University of Colorado - District 3,Democratic Party,GUNNISON,Alvin Rivera,"1,482",
Regent of the University of Colorado - District 3,Democratic Party,HINSDALE,Alvin Rivera,41,
Regent of the University of Colorado - District 3,Democratic Party,HUERFANO,Alvin Rivera,994,
Regent of the University of Colorado - District 3,Democratic Party,JACKSON,Alvin Rivera,49,
Regent of the University of Colorado - District 3,Democratic Party,LA PLATA,Alvin Rivera,"4,654",
Regent of the University of Colorado - District 3,Democratic Party,LAKE,Alvin Rivera,618,
Regent of the University of Colorado - District 3,Democratic Party,MESA,Alvin Rivera,"8,729",
Regent of the University of Colorado - District 3,Democratic Party,MINERAL,Alvin Rivera,156,
Regent of the University of Colorado - District 3,Democratic Party,MOFFAT,Alvin Rivera,317,
Regent of the University of Colorado - District 3,Democratic Party,MONTEZUMA,Alvin Rivera,"1,608",
Regent of the University of Colorado - District 3,Democratic Party,MONTROSE,Alvin Rivera,"2,059",
Regent of the University of Colorado - District 3,Democratic Party,OURAY,Alvin Rivera,616,
Regent of the University of Colorado - District 3,Democratic Party,PITKIN,Alvin Rivera,"2,072",
Regent of the University of Colorado - District 3,Democratic Party,PUEBLO,Alvin Rivera,"16,195",
Regent of the University of Colorado - District 3,Democratic Party,RIO BLANCO,Alvin Rivera,133,
Regent of the University of Colorado - District 3,Democratic Party,RIO GRANDE,Alvin Rivera,779,
Regent of the University of Colorado - District 3,Democratic Party,ROUTT,Alvin Rivera,"2,168",
Regent of the University of Colorado - District 3,Democratic Party,SAGUACHE,Alvin Rivera,598,
Regent of the University of Colorado - District 3,Democratic Party,SAN JUAN,Alvin Rivera,73,
Regent of the University of Colorado - District 3,Democratic Party,SAN MIGUEL,Alvin Rivera,959,
Regent of the University of Colorado - District 3,Democratic Party,TOTAL,Alvin Rivera,"57,134",
Regent of the University of Colorado - District 3,Democratic Party,PERCENTAGE,Alvin Rivera,100.00%,WINNER
Regent of the University of Colorado - District 3,Republican Party,ALAMOSA,Glen H. Gallegos,"1,215",
Regent of the University of Colorado - District 3,Republican Party,ARCHULETA,Glen H. Gallegos,"1,471",
Regent of the University of Colorado - District 3,Republican Party,CONEJOS,Glen H. Gallegos,904,
Regent of the University of Colorado - District 3,Republican Party,COSTILLA,Glen H. Gallegos,147,
Regent of the University of Colorado - District 3,Republican Party,CUSTER,Glen H. Gallegos,937,
Regent of the University of Colorado - District 3,Republican Party,DELTA,Glen H. Gallegos,"3,821",
Regent of the University of Colorado - District 3,Republican Party,DOLORES,Glen H. Gallegos,419,
Regent of the University of Colorado - District 3,Republican Party,EAGLE,Glen H. Gallegos,"1,554",
Regent of the University of Colorado - District 3,Republican Party,GARFIELD,Glen H. Gallegos,"3,601",
Regent of the University of Colorado - District 3,Republican Party,GUNNISON,Glen H. Gallegos,847,
Regent of the University of Colorado - District 3,Republican Party,HINSDALE,Glen H. Gallegos,150,
Regent of the University of Colorado - District 3,Republican Party,HUERFANO,Glen H. Gallegos,570,
Regent of the University of Colorado - District 3,Republican Party,JACKSON,Glen H. Gallegos,278,
Regent of the University of Colorado - District 3,Republican Party,LA PLATA,Glen H. Gallegos,"3,178",
Regent of the University of Colorado - District 3,Republican Party,LAKE,Glen H. Gallegos,232,
Regent of the University of Colorado - District 3,Republican Party,MESA,Glen H. Gallegos,"17,083",
Regent of the University of Colorado - District 3,Republican Party,MINERAL,Glen H. Gallegos,111,
Regent of the University of Colorado - District 3,Republican Party,MOFFAT,Glen H. Gallegos,"2,003",
Regent of the University of Colorado - District 3,Republican Party,MONTEZUMA,Glen H. Gallegos,"2,303",
Regent of the University of Colorado - District 3,Republican Party,MONTROSE,Glen H. Gallegos,"5,370",
Regent of the University of Colorado - District 3,Republican Party,OURAY,Glen H. Gallegos,512,
Regent of the University of Colorado - District 3,Republican Party,PITKIN,Glen H. Gallegos,529,
Regent of the University of Colorado - District 3,Republican Party,PUEBLO,Glen H. Gallegos,"9,562",
Regent of the University of Colorado - District 3,Republican Party,RIO BLANCO,Glen H. Gallegos,939,
Regent of the University of Colorado - District 3,Republican Party,RIO GRANDE,Glen H. Gallegos,"1,360",
Regent of the University of Colorado - District 3,Republican Party,ROUTT,Glen H. Gallegos,"1,402",
Regent of the University of Colorado - District 3,Republican Party,SAGUACHE,Glen H. Gallegos,335,
Regent of the University of Colorado - District 3,Republican Party,SAN JUAN,Glen H. Gallegos,31,
Regent of the University of Colorado - District 3,Republican Party,SAN MIGUEL,Glen H. Gallegos,230,
Regent of the University of Colorado - District 3,Republican Party,TOTAL,Glen H. Gallegos,"61,094",
Regent of the University of Colorado - District 3,Republican Party,PERCENTAGE,Glen H. Gallegos,100.00%,WINNER
Regent of the University of Colorado - District 5,Democratic Party,CHAFFEE,Tony Wolusky,"2,057",
Regent of the University of Colorado - District 5,Democratic Party,EL PASO,Tony Wolusky,"39,741",
